Organism,Scientific name (simplified),Common_name,Refrence ID,RefSeq/Link,Genome,PMID/Publication,Family,Genus,Subgenus,Section,Species,Subspecies,Cultivar,Variety
Solanum lycopersicum cv. B-L-35,Solanum lycopersicum,Tomato,TS185,https://solgenomics.net/ftp/genomes/TGG/cds/,TS185,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. B-L-35,
Solanum lycopersicum cv. Brandywine,Solanum lycopersicum,Tomato,Brandywine,https://solgenomics.net/ftp/genomes/TGG/cds/,Brandywine,,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Brandywine,
Solanum lycopersicum cv. EA00371,Solanum lycopersicum,Tomato,EA00371,https://solgenomics.net/ftp/genomes/TGG/cds/,EA00371,,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. EA00371,
Solanum lycopersicum cv. EA00990,Solanum lycopersicum,Tomato,EA00990,https://solgenomics.net/ftp/genomes/TGG/cds/,EA00990,,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. EA00990,
Solanum lycopersicum cv. Fla8924,Solanum lycopersicum,Tomato,Fla8924,https://solgenomics.net/ftp/genomes/TGG/cds/,Fla8924,,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Fla8924,
Solanum lycopersicum cv. Floradade,Solanum lycopersicum,Tomato,Floradade,https://solgenomics.net/ftp/genomes/TGG/cds/,Floradade,,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Floradade,
Solanum lycopersicum cv. Florida 7060 ,Solanum lycopersicum,Tomato,TS204,https://solgenomics.net/ftp/genomes/TGG/cds/,TS204,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Florida 7060 ,
Solanum lycopersicum cv. Heinz 1706 SL3.0,Solanum lycopersicum,Tomato,GCF_000188115.4,GCF_000188115.4,SL3.0,22660326,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Heinz 1706,
Solanum lycopersicum cv. Heinz 1706 SL5.0,Solanum lycopersicum,Tomato,SL5.0,https://solgenomics.net/ftp/genomes/TGG/cds/,SL5.0,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Heinz 1706,
Solanum lycopersicum cv. LYC1410,Solanum lycopersicum,Tomato,LYC1410,https://solgenomics.net/ftp/genomes/TGG/cds/,LYC1410,https://solgenomics.net/projects/tomato23,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. LYC1410,
Solanum lycopersicum cv. M-82,Solanum lycopersicum,Tomato,TS3,https://solgenomics.net/ftp/genomes/TGG/cds/,TS3,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. M-82,
Solanum lycopersicum cv. Moneymaker,Solanum lycopersicum,Tomato,MM,https://solgenomics.net/ftp/genomes/TGG/cds/,MM,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Moneymaker,
Solanum lycopersicum cv. New Yorker,Solanum lycopersicum,Tomato,TS60,https://solgenomics.net/ftp/genomes/TGG/cds/,TS60,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. New Yorker,
Solanum lycopersicum cv. Piura,Solanum lycopersicum,Tomato,TS166,https://solgenomics.net/ftp/genomes/TGG/cds/,TS166,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Piura,
Solanum lycopersicum cv. Scatolone di bolsena,Solanum lycopersicum,Tomato,TS117,https://solgenomics.net/ftp/genomes/TGG/cds/,TS117,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Scatolone di bolsena,
Solanum lycopersicum cv. UC-82,Solanum lycopersicum,Tomato,TS171,https://solgenomics.net/ftp/genomes/TGG/cds/,TS171,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. UC-82,
Solanum lycopersicum cv. Wheatleys Frost Resistant,Solanum lycopersicum,Tomato,TS692,https://solgenomics.net/ftp/genomes/TGG/cds/,TS692,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Wheatleys Frost Resistant,
Solanum lycopersicum cv. Yellow Pear,Solanum lycopersicum,Tomato,TS629,https://solgenomics.net/ftp/genomes/TGG/cds/,TS629,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Yellow Pear,
Solanum lycopersicum cv. yoku improvement,Solanum lycopersicum,Tomato,TS12,https://solgenomics.net/ftp/genomes/TGG/cds/,TS12,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. yoku improvement,
Solanum lycopersicum isolate EA01020,Solanum lycopersicum,Tomato,TS80,https://solgenomics.net/ftp/genomes/TGG/cds/,TS80,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,isolate EA01020,
Solanum lycopersicum isolate EA03083,Solanum lycopersicum,Tomato,TS112,https://solgenomics.net/ftp/genomes/TGG/cds/,TS112,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,isolate EA03083,
Solanum lycopersicum isolate PI169588,Solanum lycopersicum,Tomato,PI169588,https://solgenomics.net/ftp/genomes/TGG/cds/,PI169588,https://solgenomics.net/projects/tomato25,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,isolate PI169588,
Solanum lycopersicum isolate PI303721,Solanum lycopersicum,Tomato,PI303721,https://solgenomics.net/ftp/genomes/TGG/cds/,PI303721,https://solgenomics.net/projects/tomato26,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,isolate PI303721,
Solanum lycopersicum sample TS331,Solanum lycopersicum,Tomato,TS331,https://solgenomics.net/ftp/genomes/TGG/cds/,TS331,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,sample TS331,
Solanum lycopersicum var. cerasiforme cv. Cerise du sud ouest N 2,Solanum lycopersicum,Cherry tomato,TS280,https://solgenomics.net/ftp/genomes/TGG/cds/,TS280,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Cerise du sud ouest N 2,var. cerasiforme
Solanum lycopersicum var. cerasiforme cv. Cerise Gold,Solanum lycopersicum,Cherry tomato,TS39,https://solgenomics.net/ftp/genomes/TGG/cds/,TS39,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Cerise Gold,var. cerasiforme
Solanum lycopersicum var. cerasiforme cv. Macas,Solanum lycopersicum,Cherry tomato,TS238,https://solgenomics.net/ftp/genomes/TGG/cds/,TS238,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Macas,var. cerasiforme
Solanum lycopersicum var. cerasiforme cv. Peacevine Cherry,Solanum lycopersicum,Cherry tomato,TS545,https://solgenomics.net/ftp/genomes/TGG/cds/,TS545,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Peacevine Cherry,var. cerasiforme
Solanum lycopersicum var. cerasiforme cv. San Martin de Pangoa,Solanum lycopersicum,Cherry tomato,TS281,https://solgenomics.net/ftp/genomes/TGG/cds/,TS281,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. San Martin de Pangoa,var. cerasiforme
"Solanum lycopersicum var. cerasiforme cv. Santa Cruz, Galapagos",Solanum lycopersicum,Cherry tomato,TS118,https://solgenomics.net/ftp/genomes/TGG/cds/,TS118,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,"cv. Santa Cruz, Galapagos",var. cerasiforme
Solanum lycopersicum var. cerasiforme cv. Sugar Lump,Solanum lycopersicum,Cherry tomato,TS623,https://solgenomics.net/ftp/genomes/TGG/cds/,TS623,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Sugar Lump,var. cerasiforme
Solanum lycopersicum var. cerasiforme isolate BGV006865,Solanum lycopersicum,Cherry tomato,BGV006865,https://solgenomics.net/ftp/genomes/TGG/cds/,BGV006865,https://solgenomics.net/projects/tomato14,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,isolate BGV006865,var. cerasiforme
Solanum lycopersicum var. cerasiforme isolate BGV007931,Solanum lycopersicum,Cherry tomato,BGV007931,https://solgenomics.net/ftp/genomes/TGG/cds/,BGV007931,https://solgenomics.net/projects/tomato15,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,isolate BGV007931,var. cerasiforme
Solanum lycopersicum var. cerasiforme isolate BGV007989,Solanum lycopersicum,Cherry tomato,BGV007989,https://solgenomics.net/ftp/genomes/TGG/cds/,BGV007989,https://solgenomics.net/projects/tomato16,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,isolate BGV007989,var. cerasiforme
Solanum lycopersicum var. cerasiforme isolate LA1456,Solanum lycopersicum,Cherry tomato,TS96,https://solgenomics.net/ftp/genomes/TGG/cds/,TS96,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,isolate LA1456,var. cerasiforme
Solanum melongena accession 67/3,Solanum melongena,Eggplant,67_3,https://solgenomics.net/ftp/genomes/Solanum_melongena_V4.1/,,https://onlinelibrary.wiley.com/doi/10.1111/tpj.15313,Solanaceae,Solanum,,,melongena,,,
Solanum melongena accession HQ1315,Solanum melongena,Eggplant,HQ-1315,http://eggplant-hq.cn/Eggplant/home/index,HQ-1315,https://doi.org/10.1038/s41438-020-00391-0,Solanaceae,Solanum,,,melongena,,,
Solanum morelliforme accession PG1011,Solanum morelliforme,Wild potato,PG1011,http://solomics.agis.org.cn/potato/species,PG1011,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,morelliforme,,accession PG1011,
Solanum multiinterruptum accession PG4060,Solanum multiinterruptum,Wild potato,PG4060,http://solomics.agis.org.cn/potato/species,PG4060,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,multiinterruptum,,accession PG4060,
Solanum neorossii accession PG6243,Solanum neorossii,Wild potato,PG6243,http://solomics.agis.org.cn/potato/species,PG6243,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,neorossii,,accession PG6243,
Solanum palustre accession PG0009,Solanum palustre,Wild potato relative,PG0009,http://solomics.agis.org.cn/potato/species,PG0009,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Etuberosum,palustre,,accession PG0009,
Solanum paucissectum accession PG3022,Solanum paucissectum,Wild potato,PG3022,http://solomics.agis.org.cn/potato/species,PG3022,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,paucissectum,,accession PG3022,
Solanum pennellii,Solanum pennellii,Wild tomato,GCF_001406875.1,GCF_001406875.1,SPENNV200,25064008,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,pennellii,,,
Solanum pimpinellifolium cv. Balsa Huaico,Solanum pimpinellifolium,Currant tomato,TS156,https://solgenomics.net/ftp/genomes/TGG/cds/,TS156,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,pimpinellifolium,,cv. Balsa Huaico,
Solanum pimpinellifolium cv. Hacienda Buenos Aires,Solanum pimpinellifolium,Currant tomato,TS265,https://solgenomics.net/ftp/genomes/TGG/cds/,TS265,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,pimpinellifolium,,cv. Hacienda Buenos Aires,
Solanum pimpinellifolium cv. PAS014479,Solanum pimpinellifolium,Currant tomato,PAS014479,https://solgenomics.net/ftp/genomes/TGG/cds/,PAS014479,https://solgenomics.net/projects/tomato24,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,pimpinellifolium,,cv. PAS014479,
Solanum pimpinellifolium cv. Pisiquillo,Solanum pimpinellifolium,Currant tomato,PP,https://solgenomics.net/ftp/genomes/TGG/cds/,PP,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,pimpinellifolium,,cv. Pisiquillo,
Solanum pimpinellifolium cv. Wva 700,Solanum pimpinellifolium,Currant tomato,TS222,https://solgenomics.net/ftp/genomes/TGG/cds/,TS222,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,pimpinellifolium,,cv. Wva 700,
Solanum pimpinellifolium isolate BGV006775,Solanum pimpinellifolium,Currant tomato,BGV006775,https://solgenomics.net/ftp/genomes/TGG/cds/,BGV006775,https://solgenomics.net/projects/tomato13,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,pimpinellifolium,,isolate BGV006775,
Solanum pimpinellifolium isolate LA1242,Solanum pimpinellifolium,Currant tomato,TS413,https://solgenomics.net/ftp/genomes/TGG/cds/,TS413,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,pimpinellifolium,,isolate LA1242,
Solanum pimpinellifolium isolate LA2093,Solanum pimpinellifolium,Currant tomato,LA2093,https://solgenomics.net/ftp/genomes/TGG/cds/,LA2093,https://www.nature.com/articles/s41467-020-19682-0,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,pimpinellifolium,,isolate LA2093,
Solanum pimpinellifolium isolate LA2093 TS15,Solanum pimpinellifolium,Currant tomato,TS15,https://solgenomics.net/ftp/genomes/TGG/cds/,TS15,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,pimpinellifolium,,isolate LA2093,
Solanum pimpinellifolium isolate LA2187,Solanum pimpinellifolium,Currant tomato,TS421,https://solgenomics.net/ftp/genomes/TGG/cds/,TS421,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,pimpinellifolium,,isolate LA2187,
Solanum pimpinellifolium isolate LA2656,Solanum pimpinellifolium,Currant tomato,TS439,https://solgenomics.net/ftp/genomes/TGG/cds/,TS439,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,pimpinellifolium,,isolate LA2656,
Solanum pinnatisectum accession PG1013,Solanum pinnatisectum,Wild potato,PG1013,http://solomics.agis.org.cn/potato/species,PG1013,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,pinnatisectum,,accession PG1013,
Solanum piurae accession PG3023,Solanum piurae,Wild potato,PG3023,http://solomics.agis.org.cn/potato/species,PG3023,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,piurae,,accession PG3023,
Solanum sogarandinum accession PG4032,Solanum sogarandinum,Wild potato,PG4032,http://solomics.agis.org.cn/potato/species,PG4032,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,sogarandinum,,accession PG4032,
Solanum tuberosum accession PG6247,Solanum tuberosum,Landrace potato,PG6247,http://solomics.agis.org.cn/potato/species,PG6247,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,,accession PG6247,
Solanum tuberosum cv. Cooperation-88 (C88),Solanum tuberosum,Potato,C88.v1,http://solomics.agis.org.cn/potato/ftp/tetraploid/,C88.v1,https://www.sciencedirect.com/science/article/pii/S1674205222001915,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,,cv. Cooperation-88 (C88),
Solanum tuberosum cv. DM 1-3 516 R44,Solanum tuberosum,Potato,GCF_000226075.1,GCF_000226075.1,SolTub_3.0,21743474,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,,cv. DM 1-3 516 R44,
Solanum tuberosum cv. Otava haplotype He1,Solanum tuberosum,Potato,He1,http://spuddb.uga.edu/otava_potato_download.shtml,He1,https://www.nature.com/articles/s41588-022-01015-0,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,,cv. Otava haplotype He1,
Solanum tuberosum cv. Otava haplotype He2,Solanum tuberosum,Potato,He2,http://spuddb.uga.edu/otava_potato_download.shtml,He2,https://www.nature.com/articles/s41588-022-01015-0,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,,cv. Otava haplotype He2,
Solanum tuberosum cv. Otava haplotype St1,Solanum tuberosum,Potato,St1,http://spuddb.uga.edu/otava_potato_download.shtml,St1,https://www.nature.com/articles/s41588-022-01015-0,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,,cv. Otava haplotype St1,
Solanum tuberosum cv. Otava haplotype St2,Solanum tuberosum,Potato,St2,http://spuddb.uga.edu/otava_potato_download.shtml,St2,https://www.nature.com/articles/s41588-022-01015-0,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,,cv. Otava haplotype St2,
